id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25051514,Cozy Vintage Cottage at Zilker-Walk to Everything!,73760064,Deborah & David,,78704,30.256,-97.76966,Entire home/apt,104,29,0,,,2,77,0,
25055838,"Quiet, Comfortable Room with Privacy with Bunk Bed",6984830,Stuart,,78729,30.47148,-97.78004,Private room,35,1,80,2024-05-24,1.08,6,86,27,
25056037,Stunning Lake Travis Views*3 story*5 Decks*8 Beds,372205,Keith,,78732,30.415528255771555,-97.88642050682508,Entire home/apt,383,1,127,2024-04-15,1.74,1,330,11,
25096768,ATX Amazing House with Big Backyard (Room Rental),184056386,Scott,,78729,30.45211,-97.78348,Private room,,1,4,2018-10-24,0.05,2,0,0,
25100640,Rainey St. Condo Available,75434693,Sean,,78701,30.26021,-97.74023,Entire home/apt,,3,4,2018-10-14,0.06,1,0,0,
25137252,Modern Guest House - Hyde Park,27016431,Ron,,78751,30.30941,-97.72106,Entire home/apt,,1,4,2018-06-03,0.05,1,0,0,
25154502,BC Bungalow!!,143344998,Karen,,78746,30.2825,-97.83099,Private room,63,1,74,2024-04-22,1.00,1,81,6,
25156197,Cozy Bungalow in Hyde Park,190097700,Allison,,78751,30.31126,-97.72774,Entire home/apt,131,3,54,2024-05-07,0.74,1,6,7,
25179299,"""The green house""- walk to bars and restaurants",55190567,Suz And Kyle,,78722,30.28275,-97.71783,Entire home/apt,,1,11,2019-06-12,0.15,1,0,0,
25183200,Modern and Spacious Blue Tree House,100680076,Almog,,78704,30.25229,-97.76964,Entire home/apt,149,1,127,2024-05-10,1.81,4,96,18,
25194274,Man cave,190371076,Cameron,,78705,30.29257,-97.74228,Private room,,1,0,,,1,0,0,
25227143,2 BR Deluxe Wyndham in Downtown Austin Texas,61463458,Gary,,78701,30.27158,-97.74741,Private room,,2,1,2018-07-22,0.01,3,0,0,
25287987,Quiet 1BR Condo in Central Austin|15 min DT/Domain,50615364,Efren,,78751,30.303609985807874,-97.7361900478698,Entire home/apt,135,3,45,2024-04-23,2.09,1,29,15,
25293881,Minimalist Studio with a View,46642862,Noah,,78723,30.30499,-97.70082,Entire home/apt,,2,5,2018-10-15,0.07,1,0,0,
25323026,Tiny Home out in the country but still in Austin,191255321,Dyana,,78736,30.23534,-97.93611,Entire home/apt,,2,107,2024-05-19,1.72,2,0,26,
25339448,Eclectic one bedroom in the heart of South Austin,7269250,Elese,,78704,30.24241,-97.7734,Entire home/apt,,2,2,2019-10-14,0.03,1,0,0,
25344755,UT Downtown ECO Pecan Tree House Austin Experience,126170709,Andrew,,78705,30.29466,-97.72329,Entire home/apt,99,2,251,2024-06-16,3.42,1,62,41,
25379724,Pompton,44858137,David,,78757,30.35865,-97.72806,Entire home/apt,,3,0,,,1,0,0,
25380160,Modern Barn Guest House in Downtown East Austin,54664600,Victoria,,78702,30.25814,-97.73396,Entire home/apt,,2,22,2023-03-13,0.33,2,0,0,
25425850,Austin Apartment in South Lamar/Close to DNTN,66356738,Stephanie,,78704,30.25645,-97.76042,Entire home/apt,,3,2,2018-09-03,0.03,1,0,0,
25428952,Privet bedroom in southeast Austin,127428872,Danny,,78744,30.19457,-97.7316,Private room,,1,14,2018-10-24,0.19,1,0,0,
25429598,Modern 2 bedroom Apartment with a Pool View,57452620,Leo,,78728,30.4419,-97.69663,Entire home/apt,,2,3,2018-10-22,0.04,1,0,0,
25456126,Casita Poquita - Historic East Austin Retreat,83634068,Cesar,,78702,30.27329,-97.71911,Entire home/apt,105,2,188,2024-06-16,2.56,2,320,26,
25484373,A breath of fresh air,113693363,Danny,,78721,30.28084,-97.69449,Entire home/apt,,7,0,,,1,0,0,
25485814,"N. Austin/Round Rock ""Hidden Gem""  Great Location!",43806454,Tanya,,78717,30.50971,-97.74322,Entire home/apt,295,2,25,2024-04-22,0.34,1,177,3,
25506394,Haskell Hide-Away,57405133,Zach,,78702,30.25215,-97.72411,Entire home/apt,300,5,24,2024-03-23,0.33,1,263,3,
25519435,Hyde Park Haven,1541934,Margo,,78751,30.30913,-97.73034,Entire home/apt,250,28,9,2023-01-05,0.13,7,206,0,
25548367,PRIVATE ENTRANCE ($39)  Please read description.,137576463,Beth,,78750,30.46013,-97.80729,Private room,,3,138,2022-01-24,1.99,1,0,0,
25549057,The Merlowe Weddings OK 17ac Dripping S-ATX,189570666,Claudia,,78737,30.18338,-97.96781,Entire home/apt,670,2,134,2024-06-02,1.86,1,355,10,
25586186,"A+ East Austin location, house, people & pets!",19908975,Michele,,78702,30.27049,-97.70173,Private room,,1,16,2018-10-21,0.22,1,0,0,
25627777,"1 blk from South Congress! Updated, Spacious Home",177821967,ITrip,,78704,30.24864,-97.74824,Entire home/apt,263,3,7,2024-04-15,0.10,18,329,1,
25675438,"Entire home in ATX, minutes to downtown",2241257,Sarah,,78745,30.20997,-97.81094,Entire home/apt,,4,0,,,1,0,0,
25729634,5 mins to Domain! 15 mins to downtown Austin!,70370595,Danielle,,78727,30.41809,-97.69198,Entire home/apt,160,14,177,2024-05-31,2.42,1,248,6,
25732190,Central and Eclectic East 6th Studio,4293075,Rian,,78702,30.26261,-97.72464,Entire home/apt,,2,82,2022-04-28,1.16,1,0,0,
25740118,Room for Rent,58116960,Aniq,,78723,30.30869,-97.70463,Private room,,21,5,2019-02-14,0.07,1,0,0,
25781968,"ENTIRE apartment! Privacy, convenience & serenity!",145946517,Minghao,,78705,30.29471,-97.74179,Entire home/apt,,2,9,2018-08-05,0.12,2,0,0,
25783469,Modern Austin Walkable SoCo Townhome,14611431,Joe,,78704,30.2353,-97.75665,Entire home/apt,191,1,38,2024-05-19,1.76,2,351,22,
25797923,The Virgo Den,67340697,Naomi,,78758,30.3961,-97.72578,Entire home/apt,,1,1,2018-06-10,0.01,1,0,0,
25814790,One room in lovely Zilker Neighborhood,69575511,Amanda,,78704,30.25149,-97.77092,Private room,,1,6,2018-11-26,0.09,1,0,0,
25827103,Quiet South Austin condo with kitty care,4705833,Tristana,,78741,30.22511,-97.74378,Entire home/apt,,2,18,2019-10-13,0.25,1,0,0,
25833363,☆ Smart Home - Private Room: 5 Min To Airport ☆,83920504,Matthew,,78744,30.19933,-97.69889,Private room,,1,118,2019-11-15,1.61,3,0,0,
25839785,2/2 Shoal Creek Retreat,23742354,Alex,,78701,30.275526,-97.750404,Entire home/apt,,2,124,2023-05-29,1.72,1,0,0,
25840498,"Next to UT, 3 Miles to Downtown, Pet- Friendly",369844945,Bre,,78705,30.2969,-97.72987,Entire home/apt,116,1,248,2024-06-14,3.38,11,8,43,
25842709,Texas Ranch Home on 2 Acres with Pool,194151777,Carri,,78754,30.33745,-97.64946,Entire home/apt,233,2,132,2024-06-09,1.80,2,332,28,
25862482,"Quirky, Modern & Comfy House, 10 Min from Downtown",38850804,Emily,,78745,30.22578,-97.78097,Entire home/apt,,1,8,2019-02-11,0.11,1,0,0,
25870401,Wanderlust: Luxury Heated Pool + SPA ~ Outdoor TV,67108209,Lucas & Nickol,,78741,30.22372,-97.69039,Entire home/apt,493,1,115,2024-06-09,1.58,8,317,24,
25894410,Private room JUST MINUTES FROM DOWNTOWN,192599979,Cinthia,,78741,30.22849,-97.73741,Private room,,1,0,,,1,0,0,
25932937,Gorgeous Craftsman-style Home in Central Austin,1859696,Elva,,78756,30.31579,-97.74441,Entire home/apt,295,14,2,2018-08-13,0.03,1,26,0,
26003152,Private Room and Bath in Awesome Location!,9510498,Jessica,,78702,30.27932,-97.72064,Private room,80,2,15,2020-06-02,0.21,2,13,0,
26007796,Boat Dock | Sleeps 8 - WalkerVR,15864252,Walker Luxury Vacation,,78733,30.34633,-97.87242,Entire home/apt,209,1,13,2023-03-05,0.21,16,310,0,
26008727,Great location for exploring Austin!,195478867,Casey,,78757,30.34533,-97.73523,Entire home/apt,50,30,109,2024-05-26,1.50,7,305,5,
26010785,"Downtown Modern, Best Location",24516340,Alex,,78702,30.26193,-97.73154,Entire home/apt,239,3,145,2024-06-09,2.03,20,233,22,
26012073,Downtown east Austin beautiful & convenient house,35177627,Kamyar,,78702,30.26496,-97.71726,Entire home/apt,,28,84,2022-07-15,1.16,1,0,0,
26033929,"Exp South Lamar, one of Austin's coolest  spots.",1599248,Patrick,,78704,30.25558,-97.76015,Entire home/apt,84,2,124,2024-06-09,1.80,2,44,31,
26037511,Modern Downtown Home-Walk or Bike to Everything,118920303,Patricia,,78701,30.25328,-97.73686,Entire home/apt,,2,72,2021-08-01,0.99,1,0,0,
26057807,East Side House - Close to Everything,1213154,Liz,,78702,30.26469,-97.71841,Entire home/apt,,2,13,2019-06-30,0.18,3,0,0,
26075986,"4,000SF Luxury Villa, Large Groups, Event space",18845205,Brendan,,78702,30.27307,-97.72934,Entire home/apt,809,2,119,2024-06-01,1.74,1,317,19,
26079316,AirBNB Circle,195270844,Vince,,78750,30.4346,-97.77784,Entire home/apt,125,2,46,2024-05-31,0.65,4,361,7,
26107354,Stillwood Lodge private entrance/studio,196241250,Brian,,78757,30.36666,-97.73371,Private room,54,1,537,2024-05-29,7.39,1,316,80,
26131736,The Pink House,181586924,Gerald,,78702,30.25199,-97.72672,Entire home/apt,,2,30,2019-06-02,0.44,1,0,0,
26134318,Private 1 bed apt in heart of SoCo- walk to ACL!,101948397,Rachel,,78704,30.25189,-97.74917,Entire home/apt,,1,19,2018-10-08,0.26,1,0,0,
26138249,"Lakefront Home, sand volleyball and boat dock",177821967,ITrip,,78732,30.41418,-97.89352,Entire home/apt,387,3,16,2024-05-26,0.25,18,353,2,
26150600,Crestview Retreat*King Bed*No Cleaning,60386417,Miriam,,78757,30.34236,-97.72769,Entire home/apt,113,3,163,2024-05-27,2.50,1,90,28,
26168845,All-Suite 3BR Lakeview 1st-Floor | Patio,109638288,Vacasa Texas,,78734,30.374393560232644,-97.98872126324818,Entire home/apt,602,2,1,2020-06-07,0.02,44,364,0,
26169515,Downtown Retreat @ Casa Nueces III,140665257,Priya,,78701,30.2795,-97.74421,Entire home/apt,116,1,348,2024-05-12,4.79,4,83,60,
26231112,3BR | Balcony | W/D | Full Kitchen,1488733,Vacasa Texas,,78704,30.24776,-97.74572,Entire home/apt,397,2,107,2024-05-27,1.49,13,353,13,
26236338,☀ Private Room ☀ 5 Min From Airport + Extras,83920504,Matthew,,78744,30.20024,-97.69887,Private room,,1,91,2019-11-17,1.25,3,0,0,
26250948,Fully Stocked Kitchen + Parking Near S Lamar!,50214619,Ames - Austin Vacay,,78704,30.23753298219167,-97.78354717414825,Entire home/apt,149,1,321,2024-05-30,4.43,27,69,49,
26259302,Master Suite/Own Entrance 20 min to downtown/lakes,70061917,Nancy,,78733,30.33854,-97.87353,Private room,55,2,140,2024-06-13,1.97,1,120,20,
26259689,"Modern Flat on TownLake Trail, 5min to Downtown",1312348,Kyle,,78741,30.24246,-97.72357,Entire home/apt,,2,158,2022-10-24,2.19,2,0,0,
26263007,Spacious Bedroom with Private Bath and Balcony,33126085,Felicity,,78750,30.43399,-97.77486,Private room,,1,17,2022-04-01,0.57,1,0,0,
26277493,Tiny House Oasis in middle of East Austin,6690094,Danielle,,78702,30.25625,-97.71549,Entire home/apt,,60,35,2023-12-01,0.49,1,33,1,
26293461,Light-Filled Loft near Lady Bird Lake,80625850,Sarah,,78702,30.250328063964844,-97.72235870361328,Entire home/apt,147,1,547,2024-05-15,7.57,3,306,45,
26296849,"Large, Family-Friendly Home in South Austin!",71713476,Preston,,78745,30.1896,-97.81629,Entire home/apt,191,2,12,2023-10-23,0.17,1,285,3,
26326034,Loco For SoCo,51183342,Hunter,,78704,30.24901,-97.74877,Entire home/apt,,2,229,2020-02-21,3.15,6,0,0,
26336484,"Pete's place, relax in a private pool.",179794,Peter,,78745,30.19862,-97.7951,Entire home/apt,293,2,102,2024-06-09,1.48,1,327,7,
26384338,Spacious East Austin Home Near E. 6th St Downtown,802614,Amit,,78702,30.26594,-97.70758,Entire home/apt,246,2,91,2024-06-09,1.43,3,339,24,
26389105,The Inn at Jennifer's Gardens,122246553,Fred,,78705,30.30003,-97.74728,Entire home/apt,387,1,241,2024-06-16,3.42,1,298,40,
26390899,Zilker Area Airstream!,30875143,Peter,,78704,30.26066,-97.76616,Entire home/apt,,2,96,2020-11-29,1.32,1,0,0,
26444399,"2 Mi to DT, .6 Mi to SoCo - House + Garage Apt!",138398089,GuestSpaces,,78704,30.24862,-97.76072,Entire home/apt,384,2,52,2024-04-07,0.74,26,27,10,
26469790,Eastside guest house car-free work friendly home,92882698,Shaun-Marie,,78702,30.26013,-97.70525,Entire home/apt,85,2,16,2024-05-18,0.22,2,110,9,
26495184,Lux 10 Bed Bach Pad • 10mins DT • Hot Tub • Arcade,42680087,Austin,,78721,30.2805,-97.67584,Entire home/apt,519,2,109,2024-06-12,1.51,1,148,36,
26531000,Cozy condo near downtown!,19807524,Eric,,78705,30.29002,-97.75017,Entire home/apt,56,1,226,2024-06-01,3.16,1,338,12,
26536675,Slick Bungalow in East Austin,146923081,Eli,,78702,30.26374,-97.7172,Entire home/apt,300,2,64,2024-06-01,0.91,1,76,13,
26560743,Modern tree top get away with a view!,169708070,Logan,,78702,30.26472,-97.71406,Entire home/apt,114,31,118,2024-05-19,1.63,2,178,12,
26564312,Shoal Creek Greenbelt,199749917,Ashley,,78701,30.27566,-97.75038,Entire home/apt,165,3,103,2024-06-02,1.44,1,93,28,
26564810,Lovely Condo in 4-Plex near South Lamar,75608879,Ashley,,78745,30.22655,-97.80406,Entire home/apt,,1,3,2019-01-01,0.04,1,0,0,
26571770,Studio on east 6st!,151146332,Jessica,,78702,30.26205,-97.72417,Entire home/apt,,2,10,2019-11-10,0.14,1,0,0,
26573955,"Sweet 1 BR Apt Sleeps 4, Pool, Tennis-10 Min to DT",199821441,Art,,78749,30.23344,-97.8384,Entire home/apt,,2,49,2020-03-02,0.68,1,0,0,
26629680,Lake Travis Acreage with New Paint and Floors,180547985,Sam,,78734,30.40679,-97.92037,Entire home/apt,957,2,48,2024-06-09,0.69,3,173,9,
26638649,Zilker Stone Cottage—Walk to ACL!,5017087,Ginger,,78704,30.25598,-97.76542,Entire home/apt,1050,3,6,2023-10-09,0.09,1,353,1,
26643434,East Austin Bamboo Hideaway,1312348,Kyle,,78702,30.25189,-97.72227,Entire home/apt,178,2,110,2024-05-16,1.56,2,134,22,
26655796,Midcentury Farmhouse with Treehouse Cabin,33048045,Paul,,78721,30.27701,-97.67997,Entire home/apt,124,2,223,2024-06-15,3.18,1,312,40,
26661054,East ATX Luxury Home + Detached Loft + Heated Pool,80625850,Sarah,,78702,30.250328063964844,-97.72235870361328,Entire home/apt,1213,1,45,2024-06-16,0.71,3,269,10,
26664490,Evans: Shared Room in Awesome Community,8167447,Martin,,78751,30.31472,-97.7167,Shared room,,30,2,2021-04-20,0.03,97,364,0,
26667234,Best place for up to 4 guests near DT and airport,200463031,Eric,,78741,30.23874,-97.72345,Entire home/apt,150,1,33,2024-02-04,0.47,3,315,1,
26667257,Home w/ 3 Acres: 4 Mi to Circuit of the Americas!,124060715,Evolve,,78719,30.07844,-97.64185,Entire home/apt,,2,1,2020-06-10,0.02,39,0,0,
26667414,Explore Downtown Austin in a Hip Condo w/ Balcony,51325711,David,,78701,30.27566,-97.75038,Entire home/apt,159,2,238,2024-06-02,3.32,1,66,34,
26688520,Comfy Bijou Studio in Trendy East Austin,37601687,Rocio,,78702,30.26036,-97.72424,Entire home/apt,134,2,240,2024-05-31,3.38,4,142,31,
26692783,Austin Flats #100,200692820,Satish,,78751,30.30586,-97.73311,Entire home/apt,76,2,221,2024-06-02,3.18,2,311,24,
26718562,Chic East Downtown Condo. Six Blocks to City Core. Pool.,200912888,Urban Co,,78702,30.25829,-97.72436,Entire home/apt,99,3,422,2024-06-13,5.86,1,255,41,
26735489,Travis Heights Private Retreat,55463684,Sarah,,78704,30.2403,-97.74649,Entire home/apt,1000,1,21,2022-10-24,0.30,1,364,0,
26739224,Sunny Sexton South Central ATX 2BD/1BA,4437388,Stacey,,78745,30.21826,-97.77401,Entire home/apt,108,30,57,2023-09-24,0.79,3,123,1,
